person,person_url,universities_category,key,value
Alexander Haig,https://vi.wikipedia.org/wiki/Alexander_Haig,Đại học Columbia; Đại học Georgetown,president,Ronald Reagan
Alexander Haig,https://vi.wikipedia.org/wiki/Alexander_Haig,Đại học Columbia; Đại học Georgetown,religion,Công giáo La Mã
Alexander Haig,https://vi.wikipedia.org/wiki/Alexander_Haig,Đại học Columbia; Đại học Georgetown,spouse,Patricia Haig
Alexander Haig,https://vi.wikipedia.org/wiki/Alexander_Haig,Đại học Columbia; Đại học Georgetown,successor,George P. Shultz
Alexander Haig,https://vi.wikipedia.org/wiki/Alexander_Haig,Đại học Columbia; Đại học Georgetown,successor2,Donald Rumsfeld
Alexander Haig,https://vi.wikipedia.org/wiki/Alexander_Haig,Đại học Columbia; Đại học Georgetown,term_end,5 tháng 7 năm 1982
Alexander Haig,https://vi.wikipedia.org/wiki/Alexander_Haig,Đại học Columbia; Đại học Georgetown,term_end2,1974
Alexander Haig,https://vi.wikipedia.org/wiki/Alexander_Haig,Đại học Columbia; Đại học Georgetown,term_start,22 tháng 1 năm 1981
Alexander Haig,https://vi.wikipedia.org/wiki/Alexander_Haig,Đại học Columbia; Đại học Georgetown,term_start2,1973
Alexander Hamilton,https://vi.wikipedia.org/wiki/Alexander_Hamilton,Đại học Columbia,birth_date,11 tháng 1 năm 1757
Alexander Hamilton,https://vi.wikipedia.org/wiki/Alexander_Hamilton,Đại học Columbia,birth_place,Greenwich Village
Alexander Hamilton,https://vi.wikipedia.org/wiki/Alexander_Hamilton,Đại học Columbia,birth_place,New York
Alexander Hamilton,https://vi.wikipedia.org/wiki/Alexander_Hamilton,Đại học Columbia,death_place,New York
Alexander Hamilton,https://vi.wikipedia.org/wiki/Alexander_Hamilton,Đại học Columbia,death_place,New York
Alexander Hamilton,https://vi.wikipedia.org/wiki/Alexander_Hamilton,Đại học Columbia,image,Alexander Hamilton portrait by John Trumbull 1806.jpg
Alexander Hamilton,https://vi.wikipedia.org/wiki/Alexander_Hamilton,Đại học Columbia,imagesize,220px
Alexander Hamilton,https://vi.wikipedia.org/wiki/Alexander_Hamilton,Đại học Columbia,name,Alexander Hamilton
Alexander Hamilton,https://vi.wikipedia.org/wiki/Alexander_Hamilton,Đại học Columbia,party,Đảng liên bang
Alexander Hamilton,https://vi.wikipedia.org/wiki/Alexander_Hamilton,Đại học Columbia,predecessor,''Đầu tiên''
Alexander Hamilton,https://vi.wikipedia.org/wiki/Alexander_Hamilton,Đại học Columbia,president,George Washington
Alexander Hamilton,https://vi.wikipedia.org/wiki/Alexander_Hamilton,Đại học Columbia,spouse,Elizabeth Schuyler Hamilton
Alexander Hamilton,https://vi.wikipedia.org/wiki/Alexander_Hamilton,Đại học Columbia,successor,Oliver Wolcott Jr
Alexander Hamilton,https://vi.wikipedia.org/wiki/Alexander_Hamilton,Đại học Columbia,term_end,31 tháng 1 năm 1795
Alexander Hamilton,https://vi.wikipedia.org/wiki/Alexander_Hamilton,Đại học Columbia,term_start,11 tháng 9 năm 1789
Alexander Shulgin,https://vi.wikipedia.org/wiki/Alexander_Shulgin,Đại học Harvard,alma_mater,* Đại học California tại Berkeley (PhD)
