from,to,type,weight
James R. Schlesinger,Lady Bird Johnson,same_birth_country,1
James R. Schlesinger,Larry Hogan,same_birth_country,1
James R. Schlesinger,Lawrence Summers,same_birth_country,1
James R. Schlesinger,Lawrence Klein,same_birth_country,1
James R. Schlesinger,Leon Panetta,same_birth_country,1
James R. Schlesinger,Lucy Webb Hayes,same_birth_country,1
James R. Schlesinger,Lloyd Austin,same_birth_country,1
James R. Schlesinger,Laura Kelly,same_birth_country,1
James R. Schlesinger,Lyndon B. Johnson,same_birth_country,1
James R. Schlesinger,Marianne Williamson,same_birth_country,1
James R. Schlesinger,Marco Rubio,same_birth_country,1
James R. Schlesinger,Mark Leno,same_birth_country,1
James R. Schlesinger,Mark Gordon (chính trị gia),same_birth_country,1
James R. Schlesinger,Martin O'Malley,same_birth_country,1
James R. Schlesinger,Mark Zuckerberg,same_birth_country,1
James R. Schlesinger,Michael Spence,same_birth_country,1
James R. Schlesinger,Michael Froman,same_birth_country,1
James R. Schlesinger,Miguel Cardona,same_birth_country,1
James R. Schlesinger,Mike Johnson,same_birth_country,1
James R. Schlesinger,Mike Pence,same_birth_country,1
James R. Schlesinger,Mike Pompeo,same_birth_country,1
James R. Schlesinger,Michelle Obama,same_birth_country,1
James R. Schlesinger,Mike Dunleavy,same_birth_country,1
James R. Schlesinger,Mitch McConnell,same_birth_country,1
James R. Schlesinger,Michelle Lujan Grisham,same_birth_country,1
James R. Schlesinger,Milton Friedman,same_birth_country,1
James R. Schlesinger,Mike DeWine,same_birth_country,1
James R. Schlesinger,Nancy Pelosi,same_birth_country,1
James R. Schlesinger,Neil Gorsuch,same_birth_country,1
James R. Schlesinger,Ned Lamont,same_birth_country,1
James R. Schlesinger,Nelson Rockefeller,same_birth_country,1
James R. Schlesinger,Norman Naimark,same_birth_country,1
James R. Schlesinger,Nikki Haley,same_birth_country,1
James R. Schlesinger,Oliver Wolcott Jr.,same_birth_country,1
James R. Schlesinger,Paul Ryan,same_birth_country,1
James R. Schlesinger,Paul Samuelson,same_birth_country,1
James R. Schlesinger,Pete Buttigieg,same_birth_country,1
James R. Schlesinger,Phil Scott,same_birth_country,1
James R. Schlesinger,Pete Ricketts,same_birth_country,1
James R. Schlesinger,Pete Hegseth,same_birth_country,1
James R. Schlesinger,Phil Murphy,same_birth_country,1
James R. Schlesinger,Rafael Mandelman,same_birth_country,1
James R. Schlesinger,Noam Chomsky,same_birth_country,1
James R. Schlesinger,Rand Paul,same_birth_country,1
James R. Schlesinger,Richard Rush,same_birth_country,1
James R. Schlesinger,Richard Mentor Johnson,same_birth_country,1
James R. Schlesinger,Ricardo Rosselló,same_birth_country,1
James R. Schlesinger,Ralph Northam,same_birth_country,1
James R. Schlesinger,Rex Tillerson,same_birth_country,1
James R. Schlesinger,Robert A. Heinlein,same_birth_country,1
James R. Schlesinger,Robert F. Engle,same_birth_country,1
James R. Schlesinger,"Robert Lucas, Jr.",same_birth_country,1
James R. Schlesinger,Robert Fogel,same_birth_country,1
James R. Schlesinger,Robert Mueller,same_birth_country,1
James R. Schlesinger,Robert Todd Lincoln,same_birth_country,1
James R. Schlesinger,Richard Nixon,same_birth_country,1
James R. Schlesinger,Roger Ebert,same_birth_country,1
James R. Schlesinger,Rudy Giuliani,same_birth_country,1
James R. Schlesinger,Ron DeSantis,same_birth_country,1
James R. Schlesinger,Sam Nunn,same_birth_country,1
James R. Schlesinger,Rutherford B. Hayes,same_birth_country,1
James R. Schlesinger,Samuel Dexter,same_birth_country,1
James R. Schlesinger,Scott Walker (chính khách),same_birth_country,1
James R. Schlesinger,Roy Cooper,same_birth_country,1
James R. Schlesinger,Sarah Palin,same_birth_country,1
James R. Schlesinger,Sheryl Sandberg,same_birth_country,1
James R. Schlesinger,Spencer Cox,same_birth_country,1
James R. Schlesinger,Stephen A. Douglas,same_birth_country,1
James R. Schlesinger,Ronald Reagan,same_birth_country,1
James R. Schlesinger,Steven Mnuchin,same_birth_country,1
James R. Schlesinger,Ted Kennedy,same_birth_country,1
James R. Schlesinger,Steve Sisolak,same_birth_country,1
James R. Schlesinger,Tate Reeves,same_birth_country,1
James R. Schlesinger,Theodore Schultz,same_birth_country,1
James R. Schlesinger,Thomas A. Hendricks,same_birth_country,1
James R. Schlesinger,Thomas R. Marshall,same_birth_country,1
James R. Schlesinger,Theodore Roosevelt Jr.,same_birth_country,1
James R. Schlesinger,Thaddeus Stevens,same_birth_country,1
James R. Schlesinger,Theodore Roosevelt,same_birth_country,1
James R. Schlesinger,Tim Cook,same_birth_country,1
James R. Schlesinger,Tim Walz,same_birth_country,1
James R. Schlesinger,Tony Evers,same_birth_country,1
James R. Schlesinger,Tim Kaine,same_birth_country,1
James R. Schlesinger,Tom Wolf,same_birth_country,1
James R. Schlesinger,Ulysses S. Grant,same_birth_country,1
James R. Schlesinger,Walter Mondale,same_birth_country,1
James R. Schlesinger,Warren G. Harding,same_birth_country,1
James R. Schlesinger,Taylor Swift,same_birth_country,1
James R. Schlesinger,William Barr,same_birth_country,1
James R. Schlesinger,William A. Wheeler,same_birth_country,1
James R. Schlesinger,William Faulkner,same_birth_country,1
James R. Schlesinger,William P. Rogers,same_birth_country,1
James R. Schlesinger,William R. King,same_birth_country,1
James R. Schlesinger,William Howard Taft,same_birth_country,1
James R. Schlesinger,William Weld,same_birth_country,1
James R. Schlesinger,William McKinley,same_birth_country,1
James M. Buchanan,J. B. Pritzker,same_birth_country,1
James M. Buchanan,James S. Sherman,same_birth_country,1
James M. Buchanan,James Tobin,same_birth_country,1
James M. Buchanan,Janet Reno,same_birth_country,1
James M. Buchanan,Jared Kushner,same_birth_country,1
James M. Buchanan,Jared Polis,same_birth_country,1
James M. Buchanan,Jean Kennedy Smith,same_birth_country,1
James M. Buchanan,Janet Mills,same_birth_country,1
James M. Buchanan,Jay Inslee,same_birth_country,1
James M. Buchanan,Jen Psaki,same_birth_country,1
James M. Buchanan,Jeff Bezos,same_birth_country,1
James M. Buchanan,Jesse Jackson,same_birth_country,1
James M. Buchanan,Jim Webb,same_birth_country,1
James M. Buchanan,Jim McGreevey,same_birth_country,1
James M. Buchanan,Jill Stein,same_birth_country,1
James M. Buchanan,Jill Biden,same_birth_country,1
James M. Buchanan,John Boehner,same_birth_country,1
James M. Buchanan,Jim Justice,same_birth_country,1
James M. Buchanan,John C. Breckinridge,same_birth_country,1
James M. Buchanan,John Bel Edwards,same_birth_country,1
James M. Buchanan,John C. Calhoun,same_birth_country,1
James M. Buchanan,John Foster Dulles,same_birth_country,1
James M. Buchanan,John Glenn,same_birth_country,1
James M. Buchanan,John Hickenlooper,same_birth_country,1
James M. Buchanan,Jimmy Carter,same_birth_country,1
James M. Buchanan,John F. Kennedy,same_birth_country,1
James M. Buchanan,John Kasich,same_birth_country,1
James M. Buchanan,John Carney,same_birth_country,1
James M. Buchanan,John Roberts,same_birth_country,1
James M. Buchanan,John Nance Garner,same_birth_country,1
James M. Buchanan,John Quincy Adams,same_birth_country,1
James M. Buchanan,John O. Brennan,same_birth_country,1
James M. Buchanan,John R. Bolton,same_birth_country,1
James M. Buchanan,Joe Biden,same_birth_country,1
James M. Buchanan,John Tyler,same_birth_country,1
James M. Buchanan,Jon Ossoff,same_birth_country,1
James M. Buchanan,Joseph McCarthy,same_birth_country,1
James M. Buchanan,John Volpe,same_birth_country,1
James M. Buchanan,Joshua Angrist,same_birth_country,1
James M. Buchanan,Josh Shapiro,same_birth_country,1
James M. Buchanan,Joseph Stiglitz,same_birth_country,1
James M. Buchanan,Karen Pence,same_birth_country,1
James M. Buchanan,Kate Brown,same_birth_country,1
James M. Buchanan,Kevin McCarthy,same_birth_country,1
James M. Buchanan,Kay Ivey,same_birth_country,1
James M. Buchanan,Kenneth Arrow,same_birth_country,1
James M. Buchanan,Kevin Stitt,same_birth_country,1
James M. Buchanan,Kamala Harris,same_birth_country,1
James M. Buchanan,Kim Reynolds,same_birth_country,1
James M. Buchanan,Kristi Noem,same_birth_country,1
James M. Buchanan,Kurt Vonnegut,same_birth_country,1
James M. Buchanan,Lady Bird Johnson,same_birth_country,1
James M. Buchanan,Larry Hogan,same_birth_country,1
James M. Buchanan,Lawrence Summers,same_birth_country,1
James M. Buchanan,Lawrence Klein,same_birth_country,1
James M. Buchanan,Leon Panetta,same_birth_country,1
James M. Buchanan,Lucy Webb Hayes,same_birth_country,1
James M. Buchanan,Lloyd Austin,same_birth_country,1
James M. Buchanan,Laura Kelly,same_birth_country,1
James M. Buchanan,Lyndon B. Johnson,same_birth_country,1
James M. Buchanan,Marianne Williamson,same_birth_country,1
James M. Buchanan,Marco Rubio,same_birth_country,1
James M. Buchanan,Mark Leno,same_birth_country,1
James M. Buchanan,Mark Gordon (chính trị gia),same_birth_country,1
James M. Buchanan,Martin O'Malley,same_birth_country,1
James M. Buchanan,Mark Zuckerberg,same_birth_country,1
James M. Buchanan,Michael Spence,same_birth_country,1
James M. Buchanan,Michael Froman,same_birth_country,1
James M. Buchanan,Miguel Cardona,same_birth_country,1
James M. Buchanan,Mike Johnson,same_birth_country,1
James M. Buchanan,Mike Pence,same_birth_country,1
James M. Buchanan,Mike Pompeo,same_birth_country,1
James M. Buchanan,Michelle Obama,same_birth_country,1
James M. Buchanan,Mike Dunleavy,same_birth_country,1
James M. Buchanan,Mitch McConnell,same_birth_country,1
James M. Buchanan,Michelle Lujan Grisham,same_birth_country,1
James M. Buchanan,Milton Friedman,same_birth_country,1
James M. Buchanan,Mike DeWine,same_birth_country,1
James M. Buchanan,Nancy Pelosi,same_birth_country,1
James M. Buchanan,Neil Gorsuch,same_birth_country,1
James M. Buchanan,Ned Lamont,same_birth_country,1
James M. Buchanan,Nelson Rockefeller,same_birth_country,1
James M. Buchanan,Norman Naimark,same_birth_country,1
James M. Buchanan,Nikki Haley,same_birth_country,1
James M. Buchanan,Oliver Wolcott Jr.,same_birth_country,1
James M. Buchanan,Paul Ryan,same_birth_country,1
James M. Buchanan,Paul Samuelson,same_birth_country,1
James M. Buchanan,Pete Buttigieg,same_birth_country,1
James M. Buchanan,Phil Scott,same_birth_country,1
James M. Buchanan,Pete Ricketts,same_birth_country,1
James M. Buchanan,Pete Hegseth,same_birth_country,1
James M. Buchanan,Phil Murphy,same_birth_country,1
James M. Buchanan,Rafael Mandelman,same_birth_country,1
James M. Buchanan,Noam Chomsky,same_birth_country,1
James M. Buchanan,Rand Paul,same_birth_country,1
James M. Buchanan,Richard Rush,same_birth_country,1
James M. Buchanan,Richard Mentor Johnson,same_birth_country,1
James M. Buchanan,Ricardo Rosselló,same_birth_country,1
James M. Buchanan,Ralph Northam,same_birth_country,1
James M. Buchanan,Rex Tillerson,same_birth_country,1
James M. Buchanan,Robert A. Heinlein,same_birth_country,1
James M. Buchanan,Robert F. Engle,same_birth_country,1
James M. Buchanan,"Robert Lucas, Jr.",same_birth_country,1
James M. Buchanan,Robert Fogel,same_birth_country,1
James M. Buchanan,Robert Mueller,same_birth_country,1
James M. Buchanan,Robert Todd Lincoln,same_birth_country,1
James M. Buchanan,Richard Nixon,same_birth_country,1
James M. Buchanan,Roger Ebert,same_birth_country,1
James M. Buchanan,Rudy Giuliani,same_birth_country,1
James M. Buchanan,Ron DeSantis,same_birth_country,1
James M. Buchanan,Sam Nunn,same_birth_country,1
James M. Buchanan,Rutherford B. Hayes,same_birth_country,1
James M. Buchanan,Samuel Dexter,same_birth_country,1
James M. Buchanan,Scott Walker (chính khách),same_birth_country,1
James M. Buchanan,Roy Cooper,same_birth_country,1
James M. Buchanan,Sarah Palin,same_birth_country,1
James M. Buchanan,Sheryl Sandberg,same_birth_country,1
James M. Buchanan,Spencer Cox,same_birth_country,1
James M. Buchanan,Stephen A. Douglas,same_birth_country,1
James M. Buchanan,Ronald Reagan,same_birth_country,1
James M. Buchanan,Steven Mnuchin,same_birth_country,1
James M. Buchanan,Ted Kennedy,same_birth_country,1
James M. Buchanan,Steve Sisolak,same_birth_country,1
James M. Buchanan,Tate Reeves,same_birth_country,1
James M. Buchanan,Theodore Schultz,same_birth_country,1
James M. Buchanan,Thomas A. Hendricks,same_birth_country,1
James M. Buchanan,Thomas R. Marshall,same_birth_country,1
James M. Buchanan,Theodore Roosevelt Jr.,same_birth_country,1
James M. Buchanan,Thaddeus Stevens,same_birth_country,1
James M. Buchanan,Theodore Roosevelt,same_birth_country,1
James M. Buchanan,Tim Cook,same_birth_country,1
James M. Buchanan,Tim Walz,same_birth_country,1
James M. Buchanan,Tony Evers,same_birth_country,1
James M. Buchanan,Tim Kaine,same_birth_country,1
James M. Buchanan,Tom Wolf,same_birth_country,1
James M. Buchanan,Ulysses S. Grant,same_birth_country,1
James M. Buchanan,Walter Mondale,same_birth_country,1
James M. Buchanan,Warren G. Harding,same_birth_country,1
James M. Buchanan,Taylor Swift,same_birth_country,1
James M. Buchanan,William Barr,same_birth_country,1
James M. Buchanan,William A. Wheeler,same_birth_country,1
James M. Buchanan,William Faulkner,same_birth_country,1
James M. Buchanan,William P. Rogers,same_birth_country,1
James M. Buchanan,William R. King,same_birth_country,1
James M. Buchanan,William Howard Taft,same_birth_country,1
James M. Buchanan,William Weld,same_birth_country,1
James M. Buchanan,William McKinley,same_birth_country,1
J. B. Pritzker,James S. Sherman,same_birth_country,1
J. B. Pritzker,James Tobin,same_birth_country,1
J. B. Pritzker,Janet Reno,same_birth_country,1
J. B. Pritzker,Jared Kushner,same_birth_country,1
J. B. Pritzker,Jared Polis,same_birth_country,1
J. B. Pritzker,Jean Kennedy Smith,same_birth_country,1
J. B. Pritzker,Janet Mills,same_birth_country,1
J. B. Pritzker,Jay Inslee,same_birth_country,1
J. B. Pritzker,Jen Psaki,same_birth_country,1
J. B. Pritzker,Jeff Bezos,same_birth_country,1
J. B. Pritzker,Jesse Jackson,same_birth_country,1
J. B. Pritzker,Jim Webb,same_birth_country,1
J. B. Pritzker,Jim McGreevey,same_birth_country,1
J. B. Pritzker,Jill Stein,same_birth_country,1
J. B. Pritzker,Jill Biden,same_birth_country,1
J. B. Pritzker,John Boehner,same_birth_country,1
J. B. Pritzker,Jim Justice,same_birth_country,1
J. B. Pritzker,John C. Breckinridge,same_birth_country,1
J. B. Pritzker,John Bel Edwards,same_birth_country,1
J. B. Pritzker,John C. Calhoun,same_birth_country,1
J. B. Pritzker,John Foster Dulles,same_birth_country,1
J. B. Pritzker,John Glenn,same_birth_country,1
J. B. Pritzker,John Hickenlooper,same_birth_country,1
J. B. Pritzker,Jimmy Carter,same_birth_country,1
J. B. Pritzker,John F. Kennedy,same_birth_country,1
J. B. Pritzker,John Kasich,same_birth_country,1
J. B. Pritzker,John Carney,same_birth_country,1
J. B. Pritzker,John Roberts,same_birth_country,1
J. B. Pritzker,John Nance Garner,same_birth_country,1
J. B. Pritzker,John Quincy Adams,same_birth_country,1
J. B. Pritzker,John O. Brennan,same_birth_country,1
J. B. Pritzker,John R. Bolton,same_birth_country,1
J. B. Pritzker,Joe Biden,same_birth_country,1
J. B. Pritzker,John Tyler,same_birth_country,1
J. B. Pritzker,Jon Ossoff,same_birth_country,1
J. B. Pritzker,Joseph McCarthy,same_birth_country,1
J. B. Pritzker,John Volpe,same_birth_country,1
J. B. Pritzker,Joshua Angrist,same_birth_country,1
J. B. Pritzker,Josh Shapiro,same_birth_country,1
J. B. Pritzker,Joseph Stiglitz,same_birth_country,1
J. B. Pritzker,Karen Pence,same_birth_country,1
J. B. Pritzker,Kate Brown,same_birth_country,1
J. B. Pritzker,Kevin McCarthy,same_birth_country,1
J. B. Pritzker,Kay Ivey,same_birth_country,1
J. B. Pritzker,Kenneth Arrow,same_birth_country,1
J. B. Pritzker,Kevin Stitt,same_birth_country,1
J. B. Pritzker,Kamala Harris,same_birth_country,1
J. B. Pritzker,Kim Reynolds,same_birth_country,1
J. B. Pritzker,Kristi Noem,same_birth_country,1
J. B. Pritzker,Kurt Vonnegut,same_birth_country,1
J. B. Pritzker,Lady Bird Johnson,same_birth_country,1
J. B. Pritzker,Larry Hogan,same_birth_country,1
J. B. Pritzker,Lawrence Summers,same_birth_country,1
J. B. Pritzker,Lawrence Klein,same_birth_country,1
J. B. Pritzker,Leon Panetta,same_birth_country,1
J. B. Pritzker,Lucy Webb Hayes,same_birth_country,1
J. B. Pritzker,Lloyd Austin,same_birth_country,1
J. B. Pritzker,Laura Kelly,same_birth_country,1
J. B. Pritzker,Lyndon B. Johnson,same_birth_country,1
J. B. Pritzker,Marianne Williamson,same_birth_country,1
J. B. Pritzker,Marco Rubio,same_birth_country,1
J. B. Pritzker,Mark Leno,same_birth_country,1
J. B. Pritzker,Mark Gordon (chính trị gia),same_birth_country,1
J. B. Pritzker,Martin O'Malley,same_birth_country,1
J. B. Pritzker,Mark Zuckerberg,same_birth_country,1
J. B. Pritzker,Michael Spence,same_birth_country,1
J. B. Pritzker,Michael Froman,same_birth_country,1
J. B. Pritzker,Miguel Cardona,same_birth_country,1
J. B. Pritzker,Mike Johnson,same_birth_country,1
J. B. Pritzker,Mike Pence,same_birth_country,1
J. B. Pritzker,Mike Pompeo,same_birth_country,1
J. B. Pritzker,Michelle Obama,same_birth_country,1
J. B. Pritzker,Mike Dunleavy,same_birth_country,1
J. B. Pritzker,Mitch McConnell,same_birth_country,1
J. B. Pritzker,Michelle Lujan Grisham,same_birth_country,1
J. B. Pritzker,Milton Friedman,same_birth_country,1
J. B. Pritzker,Mike DeWine,same_birth_country,1
J. B. Pritzker,Nancy Pelosi,same_birth_country,1
J. B. Pritzker,Neil Gorsuch,same_birth_country,1
J. B. Pritzker,Ned Lamont,same_birth_country,1
J. B. Pritzker,Nelson Rockefeller,same_birth_country,1
J. B. Pritzker,Norman Naimark,same_birth_country,1
J. B. Pritzker,Nikki Haley,same_birth_country,1
J. B. Pritzker,Oliver Wolcott Jr.,same_birth_country,1
J. B. Pritzker,Paul Ryan,same_birth_country,1
J. B. Pritzker,Paul Samuelson,same_birth_country,1
J. B. Pritzker,Pete Buttigieg,same_birth_country,1
J. B. Pritzker,Phil Scott,same_birth_country,1
J. B. Pritzker,Pete Ricketts,same_birth_country,1
J. B. Pritzker,Pete Hegseth,same_birth_country,1
J. B. Pritzker,Phil Murphy,same_birth_country,1
J. B. Pritzker,Rafael Mandelman,same_birth_country,1
J. B. Pritzker,Noam Chomsky,same_birth_country,1
J. B. Pritzker,Rand Paul,same_birth_country,1
J. B. Pritzker,Richard Rush,same_birth_country,1
J. B. Pritzker,Richard Mentor Johnson,same_birth_country,1
J. B. Pritzker,Ricardo Rosselló,same_birth_country,1
J. B. Pritzker,Ralph Northam,same_birth_country,1
J. B. Pritzker,Rex Tillerson,same_birth_country,1
J. B. Pritzker,Robert A. Heinlein,same_birth_country,1
J. B. Pritzker,Robert F. Engle,same_birth_country,1
J. B. Pritzker,"Robert Lucas, Jr.",same_birth_country,1
J. B. Pritzker,Robert Fogel,same_birth_country,1
J. B. Pritzker,Robert Mueller,same_birth_country,1
J. B. Pritzker,Robert Todd Lincoln,same_birth_country,1
J. B. Pritzker,Richard Nixon,same_birth_country,1
J. B. Pritzker,Roger Ebert,same_birth_country,1
J. B. Pritzker,Rudy Giuliani,same_birth_country,1
J. B. Pritzker,Ron DeSantis,same_birth_country,1
J. B. Pritzker,Sam Nunn,same_birth_country,1
J. B. Pritzker,Rutherford B. Hayes,same_birth_country,1
J. B. Pritzker,Samuel Dexter,same_birth_country,1
J. B. Pritzker,Scott Walker (chính khách),same_birth_country,1
J. B. Pritzker,Roy Cooper,same_birth_country,1
J. B. Pritzker,Sarah Palin,same_birth_country,1
J. B. Pritzker,Sheryl Sandberg,same_birth_country,1
J. B. Pritzker,Spencer Cox,same_birth_country,1
J. B. Pritzker,Stephen A. Douglas,same_birth_country,1
J. B. Pritzker,Ronald Reagan,same_birth_country,1
J. B. Pritzker,Steven Mnuchin,same_birth_country,1
J. B. Pritzker,Ted Kennedy,same_birth_country,1
J. B. Pritzker,Steve Sisolak,same_birth_country,1
J. B. Pritzker,Tate Reeves,same_birth_country,1
J. B. Pritzker,Theodore Schultz,same_birth_country,1
J. B. Pritzker,Thomas A. Hendricks,same_birth_country,1
J. B. Pritzker,Thomas R. Marshall,same_birth_country,1
J. B. Pritzker,Theodore Roosevelt Jr.,same_birth_country,1
J. B. Pritzker,Thaddeus Stevens,same_birth_country,1
J. B. Pritzker,Theodore Roosevelt,same_birth_country,1
J. B. Pritzker,Tim Cook,same_birth_country,1
J. B. Pritzker,Tim Walz,same_birth_country,1
J. B. Pritzker,Tony Evers,same_birth_country,1
J. B. Pritzker,Tim Kaine,same_birth_country,1
J. B. Pritzker,Tom Wolf,same_birth_country,1
J. B. Pritzker,Ulysses S. Grant,same_birth_country,1
J. B. Pritzker,Walter Mondale,same_birth_country,1
J. B. Pritzker,Warren G. Harding,same_birth_country,1
J. B. Pritzker,Taylor Swift,same_birth_country,1
J. B. Pritzker,William Barr,same_birth_country,1
J. B. Pritzker,William A. Wheeler,same_birth_country,1
J. B. Pritzker,William Faulkner,same_birth_country,1
J. B. Pritzker,William P. Rogers,same_birth_country,1
J. B. Pritzker,William R. King,same_birth_country,1
J. B. Pritzker,William Howard Taft,same_birth_country,1
J. B. Pritzker,William Weld,same_birth_country,1
J. B. Pritzker,William McKinley,same_birth_country,1
James S. Sherman,James Tobin,same_birth_country,1
James S. Sherman,Janet Reno,same_birth_country,1
James S. Sherman,Jared Kushner,same_birth_country,1
James S. Sherman,Jared Polis,same_birth_country,1
James S. Sherman,Jean Kennedy Smith,same_birth_country,1
James S. Sherman,Janet Mills,same_birth_country,1
James S. Sherman,Jay Inslee,same_birth_country,1
James S. Sherman,Jen Psaki,same_birth_country,1
James S. Sherman,Jeff Bezos,same_birth_country,1
James S. Sherman,Jesse Jackson,same_birth_country,1
James S. Sherman,Jim Webb,same_birth_country,1
James S. Sherman,Jim McGreevey,same_birth_country,1
James S. Sherman,Jill Stein,same_birth_country,1
James S. Sherman,Jill Biden,same_birth_country,1
James S. Sherman,John Boehner,same_birth_country,1
James S. Sherman,Jim Justice,same_birth_country,1
James S. Sherman,John C. Breckinridge,same_birth_country,1
James S. Sherman,John Bel Edwards,same_birth_country,1
James S. Sherman,John C. Calhoun,same_birth_country,1
James S. Sherman,John Foster Dulles,same_birth_country,1
James S. Sherman,John Glenn,same_birth_country,1
James S. Sherman,John Hickenlooper,same_birth_country,1
James S. Sherman,Jimmy Carter,same_birth_country,1
James S. Sherman,John F. Kennedy,same_birth_country,1
James S. Sherman,John Kasich,same_birth_country,1
James S. Sherman,John Carney,same_birth_country,1
James S. Sherman,John Roberts,same_birth_country,1
James S. Sherman,John Nance Garner,same_birth_country,1
James S. Sherman,John Quincy Adams,same_birth_country,1
James S. Sherman,John O. Brennan,same_birth_country,1
James S. Sherman,John R. Bolton,same_birth_country,1
James S. Sherman,Joe Biden,same_birth_country,1
James S. Sherman,John Tyler,same_birth_country,1
James S. Sherman,Jon Ossoff,same_birth_country,1
James S. Sherman,Joseph McCarthy,same_birth_country,1
James S. Sherman,John Volpe,same_birth_country,1
James S. Sherman,Joshua Angrist,same_birth_country,1
James S. Sherman,Josh Shapiro,same_birth_country,1
James S. Sherman,Joseph Stiglitz,same_birth_country,1
James S. Sherman,Karen Pence,same_birth_country,1
James S. Sherman,Kate Brown,same_birth_country,1
James S. Sherman,Kevin McCarthy,same_birth_country,1
James S. Sherman,Kay Ivey,same_birth_country,1
James S. Sherman,Kenneth Arrow,same_birth_country,1
James S. Sherman,Kevin Stitt,same_birth_country,1
James S. Sherman,Kamala Harris,same_birth_country,1
James S. Sherman,Kim Reynolds,same_birth_country,1
James S. Sherman,Kristi Noem,same_birth_country,1
James S. Sherman,Kurt Vonnegut,same_birth_country,1
James S. Sherman,Lady Bird Johnson,same_birth_country,1
James S. Sherman,Larry Hogan,same_birth_country,1
James S. Sherman,Lawrence Summers,same_birth_country,1
James S. Sherman,Lawrence Klein,same_birth_country,1
James S. Sherman,Leon Panetta,same_birth_country,1
James S. Sherman,Lucy Webb Hayes,same_birth_country,1
James S. Sherman,Lloyd Austin,same_birth_country,1
James S. Sherman,Laura Kelly,same_birth_country,1
James S. Sherman,Lyndon B. Johnson,same_birth_country,1
James S. Sherman,Marianne Williamson,same_birth_country,1
James S. Sherman,Marco Rubio,same_birth_country,1
James S. Sherman,Mark Leno,same_birth_country,1
James S. Sherman,Mark Gordon (chính trị gia),same_birth_country,1
James S. Sherman,Martin O'Malley,same_birth_country,1
James S. Sherman,Mark Zuckerberg,same_birth_country,1
James S. Sherman,Michael Spence,same_birth_country,1
James S. Sherman,Michael Froman,same_birth_country,1
James S. Sherman,Miguel Cardona,same_birth_country,1
James S. Sherman,Mike Johnson,same_birth_country,1
James S. Sherman,Mike Pence,same_birth_country,1
James S. Sherman,Mike Pompeo,same_birth_country,1
James S. Sherman,Michelle Obama,same_birth_country,1
James S. Sherman,Mike Dunleavy,same_birth_country,1
James S. Sherman,Mitch McConnell,same_birth_country,1
James S. Sherman,Michelle Lujan Grisham,same_birth_country,1
James S. Sherman,Milton Friedman,same_birth_country,1
James S. Sherman,Mike DeWine,same_birth_country,1
James S. Sherman,Nancy Pelosi,same_birth_country,1
James S. Sherman,Neil Gorsuch,same_birth_country,1
James S. Sherman,Ned Lamont,same_birth_country,1
James S. Sherman,Nelson Rockefeller,same_birth_country,1
James S. Sherman,Norman Naimark,same_birth_country,1
James S. Sherman,Nikki Haley,same_birth_country,1
James S. Sherman,Oliver Wolcott Jr.,same_birth_country,1
James S. Sherman,Paul Ryan,same_birth_country,1
James S. Sherman,Paul Samuelson,same_birth_country,1
James S. Sherman,Pete Buttigieg,same_birth_country,1
James S. Sherman,Phil Scott,same_birth_country,1
James S. Sherman,Pete Ricketts,same_birth_country,1
James S. Sherman,Pete Hegseth,same_birth_country,1
James S. Sherman,Phil Murphy,same_birth_country,1
James S. Sherman,Rafael Mandelman,same_birth_country,1
James S. Sherman,Noam Chomsky,same_birth_country,1
James S. Sherman,Rand Paul,same_birth_country,1
James S. Sherman,Richard Rush,same_birth_country,1
James S. Sherman,Richard Mentor Johnson,same_birth_country,1
James S. Sherman,Ricardo Rosselló,same_birth_country,1
James S. Sherman,Ralph Northam,same_birth_country,1
James S. Sherman,Rex Tillerson,same_birth_country,1
James S. Sherman,Robert A. Heinlein,same_birth_country,1
James S. Sherman,Robert F. Engle,same_birth_country,1
James S. Sherman,"Robert Lucas, Jr.",same_birth_country,1
James S. Sherman,Robert Fogel,same_birth_country,1
James S. Sherman,Robert Mueller,same_birth_country,1
James S. Sherman,Robert Todd Lincoln,same_birth_country,1
James S. Sherman,Richard Nixon,same_birth_country,1
James S. Sherman,Roger Ebert,same_birth_country,1
James S. Sherman,Rudy Giuliani,same_birth_country,1
James S. Sherman,Ron DeSantis,same_birth_country,1
James S. Sherman,Sam Nunn,same_birth_country,1
James S. Sherman,Rutherford B. Hayes,same_birth_country,1
James S. Sherman,Samuel Dexter,same_birth_country,1
James S. Sherman,Scott Walker (chính khách),same_birth_country,1
James S. Sherman,Roy Cooper,same_birth_country,1
James S. Sherman,Sarah Palin,same_birth_country,1
James S. Sherman,Sheryl Sandberg,same_birth_country,1
James S. Sherman,Spencer Cox,same_birth_country,1
James S. Sherman,Stephen A. Douglas,same_birth_country,1
James S. Sherman,Ronald Reagan,same_birth_country,1
James S. Sherman,Steven Mnuchin,same_birth_country,1
James S. Sherman,Ted Kennedy,same_birth_country,1
James S. Sherman,Steve Sisolak,same_birth_country,1
James S. Sherman,Tate Reeves,same_birth_country,1
James S. Sherman,Theodore Schultz,same_birth_country,1
James S. Sherman,Thomas A. Hendricks,same_birth_country,1
James S. Sherman,Thomas R. Marshall,same_birth_country,1
James S. Sherman,Theodore Roosevelt Jr.,same_birth_country,1
James S. Sherman,Thaddeus Stevens,same_birth_country,1
