from,to,type,weight
Frederik X của Đan Mạch,Đại học Aarhus,alumni_of,1
Frederik X của Đan Mạch,Đại học Harvard,alumni_of,1
Recep Tayyip Erdoğan,Đại học Marmara,alumni_of,1
Joko Widodo,Đại học Gadjah Mada,alumni_of,1
Sam Lansky,The New School,alumni_of,1
Yoon Suk-yeol,Đại học Quốc gia Seoul,alumni_of,1
John Hancock,Đại học Harvard,alumni_of,1
David Lloyd Johnston,Đại học Harvard,alumni_of,1
William Wordsworth,Đại học Cambridge,alumni_of,1
Leonard Bernstein,Đại học Harvard,alumni_of,1
Leonard Bernstein,Học viện âm nhạc Curtis,alumni_of,1
F. Scott Fitzgerald,Đại học Princeton,alumni_of,1
John Henry Newman,Đại học Oxford,alumni_of,1
Giáo hoàng Lêô XIV,Đại học Villanova,alumni_of,1
Bob Hawke,Đại học Tây Úc,alumni_of,1
Bob Hawke,Đại học Oxford,alumni_of,1
John Turner,Đại học Oxford,alumni_of,1
John Turner,Đại học Paris,alumni_of,1
Lý Hiển Long,Đại học Harvard,alumni_of,1
Clement Attlee,Đại học Oxford,alumni_of,1
Tập Cận Bình,Đại học Thanh Hoa,alumni_of,1
Álvaro Uribe,Đại học Harvard,alumni_of,1
Indira Gandhi,Đại học Oxford,alumni_of,1
Abhisit Vejjajiva,Eton College,alumni_of,1
Robert Bridges,Eton College,alumni_of,1
Dr. Seuss,Đại học Dartmouth,alumni_of,1
Lewis Carroll,Đại học Oxford,alumni_of,1
Jawaharlal Nehru,Đại học Cambridge,alumni_of,1
Howard Dean,Đại học Yale,alumni_of,1
John C. Calhoun,Đại học Yale,alumni_of,1
Dean Acheson,Đại học Yale,alumni_of,1
Dean Acheson,Đại học Harvard,alumni_of,1
Jerry Brown,"University of California, Berkeley",alumni_of,1
Jerry Brown,Đại học Yale,alumni_of,1
William Wilberforce,Đại học Cambridge,alumni_of,1
Amartya Sen,Đại học Cambridge,alumni_of,1
Ralph Vaughan Williams,Đại học Cambridge,alumni_of,1
Leon Panetta,Đại học Santa Clara,alumni_of,1
Narendra Modi,Đại học Delhi,alumni_of,1
Narendra Modi,Đại học Gujarat,alumni_of,1
George Marshall,Học viện Quân sự Virginia,alumni_of,1
Tưởng Giới Thạch,Trường Lục quân Bảo Định,alumni_of,1
Tưởng Giới Thạch,Trường Shinbu Tokyo,alumni_of,1
Volodymyr Oleksandrovych Zelenskyy,Đại học Kinh tế Quốc dân Kyiv,alumni_of,1
Volodymyr Oleksandrovych Zelenskyy,Học viện Kinh tế Kryvyi Rih,alumni_of,1
Gordon Brown,Đại học Edinburg,alumni_of,1
Umaru Musa Yar'Adua,Barewa College,alumni_of,1
Umaru Musa Yar'Adua,Đại học Ahmadu Belloy,alumni_of,1
Mohammad Mosaddegh,Đại học Neuchâtel,alumni_of,1
Harry S. Truman,Đại học Missouri–Trường Luật Thành phố Kansas,alumni_of,1
Nikita Sergeyevich Khrushchyov,Học viện Công nghiệp Moskva,alumni_of,1
