src_person,dst_person,relation
Albert Gallatin,John Quincy Adams,LINKS_TO
Albert Gallatin,James Madison,LINKS_TO
Albert Gallatin,James Monroe,LINKS_TO
Albert Gallatin,Thomas Jefferson,LINKS_TO
Albert Gallatin,Samuel Dexter,LINKS_TO
Alexander Stubb,Sauli Niinistö,LINKS_TO
Alexander Stubb,Juha Sipilä,LINKS_TO
Alexander Stubb,Jyrki Katainen,LINKS_TO
Alexander Stubb,Matti Vanhanen,LINKS_TO
Alexander Stubb,Mari Kiviniemi,LINKS_TO
Alexander Stubb,Rafael Erich,LINKS_TO
Alexander Stubb,Antti Tulenheimo,LINKS_TO
Alexander Stubb,Pehr Evind Svinhufvud,LINKS_TO
Alexander Stubb,Johan Wilhelm Rangell,LINKS_TO
Alexander Stubb,Edwin Linkomies,LINKS_TO
Alexander Stubb,Juho Kusti Paasikivi,LINKS_TO
Alexander Stubb,Urho Kekkonen,LINKS_TO
Alexander Stubb,Teuvo Aura,LINKS_TO
Alexander Stubb,Keijo Liinamaa,LINKS_TO
Alexander Stubb,Harri Holkeri,LINKS_TO
Alexander Stubb,Paavo Lipponen,LINKS_TO
Alexander Stubb,Anneli Jäätteenmäki,LINKS_TO
Alexander Stubb,Sanna Marin,LINKS_TO
Alberto Fernández,Cristina Fernández de Kirchner,LINKS_TO
Alberto Fernández,Javier Milei,LINKS_TO
Alfred Deakin,Edmund Barton,LINKS_TO
Alfred Deakin,Andrew Fisher,LINKS_TO
Alfred Deakin,George Reid (chính khách Úc),LINKS_TO
Alfred Deakin,Stanley Bruce,LINKS_TO
Alfred Deakin,Earle Page,LINKS_TO
Alfred Deakin,Robert Menzies,LINKS_TO
Alfred Deakin,Frank Forde,LINKS_TO
Alfred Deakin,Harold Holt,LINKS_TO
Alfred Deakin,John McEwen,LINKS_TO
Alfred Deakin,John Gorton,LINKS_TO
Alfred Deakin,William McMahon,LINKS_TO
Alfred Deakin,Gough Whitlam,LINKS_TO
Alfred Deakin,Malcolm Fraser,LINKS_TO
Alfred Deakin,Bob Hawke,LINKS_TO
Alfred Deakin,John Howard,LINKS_TO
Alfred Deakin,Kevin Rudd,LINKS_TO
Alfred Deakin,Julia Gillard,LINKS_TO
Alfred Deakin,Tony Abbott,LINKS_TO
Alfred Deakin,Malcolm Turnbull,LINKS_TO
Alfred Deakin,Scott Morrison,LINKS_TO
Alfred Deakin,Anthony Albanese,LINKS_TO
Alcide De Gasperi,Enrico De Nicola,LINKS_TO
Alcide De Gasperi,Luigi Einaudi,LINKS_TO
Alcide De Gasperi,Giuseppe Saragat,LINKS_TO
Alcide De Gasperi,Konrad Adenauer,LINKS_TO
Alcide De Gasperi,Bettino Ricasoli,LINKS_TO
Alcide De Gasperi,Urbano Rattazzi,LINKS_TO
Alcide De Gasperi,Francesco Crispi,LINKS_TO
Alcide De Gasperi,Giovanni Giolitti,LINKS_TO
Alcide De Gasperi,Luigi Luzzatti,LINKS_TO
Alcide De Gasperi,Antonio Salandra,LINKS_TO
Alcide De Gasperi,Aldo Moro,LINKS_TO
Alcide De Gasperi,Giulio Andreotti,LINKS_TO
Alcide De Gasperi,Francesco Cossiga,LINKS_TO
Alcide De Gasperi,Arnaldo Forlani,LINKS_TO
Alcide De Gasperi,Giovanni Spadolini,LINKS_TO
Alcide De Gasperi,Bettino Craxi,LINKS_TO
Alcide De Gasperi,Giuliano Amato,LINKS_TO
Alcide De Gasperi,Silvio Berlusconi,LINKS_TO
Alcide De Gasperi,Lamberto Dini,LINKS_TO
Alcide De Gasperi,Romano Prodi,LINKS_TO
Alcide De Gasperi,Mario Monti,LINKS_TO
Alcide De Gasperi,Enrico Letta,LINKS_TO
Alcide De Gasperi,Matteo Renzi,LINKS_TO
Alcide De Gasperi,Paolo Gentiloni,LINKS_TO
Alcide De Gasperi,Giuseppe Conte,LINKS_TO
Alcide De Gasperi,Mario Draghi,LINKS_TO
Alexis Tsipras,Prokopis Pavlopoulos,LINKS_TO
Alexis Tsipras,Vassiliki Thanou-Christophilou,LINKS_TO
Alexis Tsipras,Kyriakos Mitsotakis,LINKS_TO
Alexis Tsipras,Karolos Papoulias,LINKS_TO
Alexis Tsipras,Antonis Samaras,LINKS_TO
Abe Shinzō,Asō Tarō,LINKS_TO
Abe Shinzō,Noda Yoshihiko,LINKS_TO
Abe Shinzō,Suga Yoshihide,LINKS_TO
Abe Shinzō,Koizumi Junichirō,LINKS_TO
Abe Shinzō,Fukuda Yasuo,LINKS_TO
Abe Shinzō,Ishiba Shigeru,LINKS_TO
Abe Shinzō,Tanigaki Sadakazu,LINKS_TO
Abe Shinzō,Yoshida Shigeru,LINKS_TO
Abe Shinzō,Kishi Nobusuke,LINKS_TO
Abe Shinzō,Satō Eisaku,LINKS_TO
Abe Shinzō,Mori Yoshirō,LINKS_TO
Abe Shinzō,Hồ Cẩm Đào,LINKS_TO
Abe Shinzō,Pratibha Patil,LINKS_TO
Abe Shinzō,Trần Thủy Biển,LINKS_TO
Abe Shinzō,Lý Đăng Huy,LINKS_TO
Abe Shinzō,Thái Anh Văn,LINKS_TO
Abe Shinzō,Joe Biden,LINKS_TO
Abe Shinzō,Nguyễn Xuân Phúc,LINKS_TO
Abe Shinzō,Barack Obama,LINKS_TO
Abe Shinzō,Kan Naoto,LINKS_TO
Abe Shinzō,David Cameron,LINKS_TO
Abe Shinzō,Tony Abbott,LINKS_TO
Abe Shinzō,Manmohan Singh,LINKS_TO
Abe Shinzō,Narendra Modi,LINKS_TO
Abe Shinzō,Park Geun-hye,LINKS_TO
Abe Shinzō,Tập Cận Bình,LINKS_TO
Abe Shinzō,Nakatani Gen,LINKS_TO
Abe Shinzō,Donald Trump,LINKS_TO
Abe Shinzō,Lý Khắc Cường,LINKS_TO
Abe Shinzō,Katō Katsunobu,LINKS_TO
Abe Shinzō,Kamala Harris,LINKS_TO
Abe Shinzō,Anthony Albanese,LINKS_TO
Abe Shinzō,Angela Merkel,LINKS_TO
Abe Shinzō,Boris Johnson,LINKS_TO
Abe Shinzō,Itō Hirobumi,LINKS_TO
Abe Shinzō,Saionji Kinmochi,LINKS_TO
Abe Shinzō,Hara Takashi,LINKS_TO
Abe Shinzō,Katō Tomosaburō,LINKS_TO
Abe Shinzō,Katō Takaaki,LINKS_TO
Abe Shinzō,Wakatsuki Reijirō,LINKS_TO
Abe Shinzō,Tanaka Giichi,LINKS_TO
Abe Shinzō,Inukai Tsuyoshi,LINKS_TO
Abe Shinzō,Saitō Makoto,LINKS_TO
Abe Shinzō,Gotō Fumio,LINKS_TO
Abe Shinzō,Hiranuma Kiichirō,LINKS_TO
Abe Shinzō,Abe Nobuyuki,LINKS_TO
Abe Shinzō,Itō Masayoshi,LINKS_TO
Abe Shinzō,Hatoyama Yukio,LINKS_TO
Abe Shinzō,Kishida Fumio,LINKS_TO
Abe Shinzō,Takaichi Sanae,LINKS_TO
Amy Coney Barrett,Ruth Bader Ginsburg,LINKS_TO
Amy Coney Barrett,Donald Trump,LINKS_TO
Alexander Van der Bellen,Christian Kern,LINKS_TO
Alexander Van der Bellen,Sebastian Kurz,LINKS_TO
Amartya Sen,Đại học Harvard,LINKS_TO
Amartya Sen,Đại học Cambridge,LINKS_TO
Amartya Sen,Viện Công nghệ Massachusetts,LINKS_TO
Amartya Sen,Đại học Oxford,LINKS_TO
Amartya Sen,Đại học Stanford,LINKS_TO
Amartya Sen,John Stuart Mill,LINKS_TO
Amartya Sen,Kenneth Arrow,LINKS_TO
Amartya Sen,Mahbub ul Haq,LINKS_TO
Amartya Sen,Esther Duflo,LINKS_TO
Amartya Sen,Tony Atkinson,LINKS_TO
Amartya Sen,Paul Samuelson,LINKS_TO
Amartya Sen,Simon Kuznets,LINKS_TO
Amartya Sen,John Hicks,LINKS_TO
Amartya Sen,Friedrich Hayek,LINKS_TO
Amartya Sen,Milton Friedman,LINKS_TO
Amartya Sen,Bertil Ohlin,LINKS_TO
Amartya Sen,James Meade,LINKS_TO
Amartya Sen,Theodore Schultz,LINKS_TO
Amartya Sen,Lawrence Klein,LINKS_TO
Amartya Sen,James Tobin,LINKS_TO
Amartya Sen,George Stigler,LINKS_TO
Amartya Sen,Gérard Debreu,LINKS_TO
Amartya Sen,Richard Stone,LINKS_TO
Amartya Sen,Franco Modigliani,LINKS_TO
Amartya Sen,James M. Buchanan,LINKS_TO
Amartya Sen,Robert Solow,LINKS_TO
Amartya Sen,Maurice Allais,LINKS_TO
Amartya Sen,Trygve Haavelmo,LINKS_TO
Amartya Sen,Harry Markowitz,LINKS_TO
Amartya Sen,Merton Miller,LINKS_TO
Amartya Sen,Ronald Coase,LINKS_TO
Amartya Sen,Gary Becker,LINKS_TO
Amartya Sen,Robert Fogel,LINKS_TO
Amartya Sen,Douglass North,LINKS_TO
Amartya Sen,"Robert Lucas, Jr.",LINKS_TO
Amartya Sen,James Mirrlees,LINKS_TO
Amartya Sen,William Vickrey,LINKS_TO
Amartya Sen,Myron Scholes,LINKS_TO
Amartya Sen,Robert Mundell,LINKS_TO
Amartya Sen,James Heckman,LINKS_TO
Amartya Sen,George Akerlof,LINKS_TO
Amartya Sen,Michael Spence,LINKS_TO
Amartya Sen,Joseph Stiglitz,LINKS_TO
Amartya Sen,Robert F. Engle,LINKS_TO
Amartya Sen,Clive Granger,LINKS_TO
Amartya Sen,Finn E. Kydland,LINKS_TO
Amartya Sen,Peter A. Diamond,LINKS_TO
Amartya Sen,Christopher A. Pissarides,LINKS_TO
Amartya Sen,Thomas J. Sargent,LINKS_TO
Amartya Sen,Christopher A. Sims,LINKS_TO
Amartya Sen,Jean Tirole,LINKS_TO
Amartya Sen,Bengt Holmström,LINKS_TO
Amartya Sen,Richard Thaler,LINKS_TO
Amartya Sen,Joshua Angrist,LINKS_TO
Amartya Sen,David Card,LINKS_TO
Andreas Norlén,Stefan Löfven,LINKS_TO
Andrew Giuliani,Donald Trump,LINKS_TO
Andrew Giuliani,Rudy Giuliani,LINKS_TO
