src_person,dst_person,relation,count
Gabriel Attal,Michel Debré,SHARED_UNI,1
Gabriel Attal,Michel Rocard,SHARED_UNI,1
Gabriel Attal,Nicolas Sarkozy,SHARED_UNI,1
Gabriel Attal,Édouard Philippe,SHARED_UNI,1
Georges Pompidou,Jacques Chaban-Delmas,SHARED_UNI,1
Georges Pompidou,Laurent Fabius,SHARED_UNI,1
Georges Pompidou,Michel Debré,SHARED_UNI,1
Georges Pompidou,Michel Rocard,SHARED_UNI,1
Georges Pompidou,Nicolas Sarkozy,SHARED_UNI,1
Georges Pompidou,Édouard Philippe,SHARED_UNI,1
Jacques Chaban-Delmas,Laurent Fabius,SHARED_UNI,1
Jacques Chaban-Delmas,Michel Debré,SHARED_UNI,1
Jacques Chaban-Delmas,Michel Rocard,SHARED_UNI,1
Jacques Chaban-Delmas,Nicolas Sarkozy,SHARED_UNI,1
Jacques Chaban-Delmas,Édouard Philippe,SHARED_UNI,1
Laurent Fabius,Michel Debré,SHARED_UNI,1
Laurent Fabius,Michel Rocard,SHARED_UNI,1
Laurent Fabius,Nicolas Sarkozy,SHARED_UNI,1
Laurent Fabius,Édouard Philippe,SHARED_UNI,1
Michel Debré,Michel Rocard,SHARED_UNI,1
Michel Debré,Nicolas Sarkozy,SHARED_UNI,1
Michel Debré,Édouard Philippe,SHARED_UNI,1
Michel Rocard,Nicolas Sarkozy,SHARED_UNI,1
Michel Rocard,Édouard Philippe,SHARED_UNI,1
Nicolas Sarkozy,Édouard Philippe,SHARED_UNI,1
Abe Shinzō,Doug Emhoff,SHARED_UNI,1
Abe Shinzō,Miki Takeo,SHARED_UNI,1
Abe Shinzō,Mohamed Morsi,SHARED_UNI,1
Doug Emhoff,Miki Takeo,SHARED_UNI,1
Doug Emhoff,Mohamed Morsi,SHARED_UNI,1
Miki Takeo,Mohamed Morsi,SHARED_UNI,1
Alan García,Boutros Boutros-Ghali,SHARED_UNI,1
Alassane Ouattara,Beau Biden,SHARED_UNI,1
Alassane Ouattara,Bongbong Marcos,SHARED_UNI,1
Alassane Ouattara,Ed Rendell,SHARED_UNI,1
Alassane Ouattara,Donald Trump,SHARED_UNI,1
Alassane Ouattara,Ivanka Trump,SHARED_UNI,1
Alassane Ouattara,Phil Murphy,SHARED_UNI,1
Alassane Ouattara,Noam Chomsky,SHARED_UNI,1
Alassane Ouattara,Toomas Hendrik Ilves,SHARED_UNI,1
Alassane Ouattara,William Henry Harrison,SHARED_UNI,1
Beau Biden,Bongbong Marcos,SHARED_UNI,1
Beau Biden,Ed Rendell,SHARED_UNI,1
Beau Biden,Donald Trump,SHARED_UNI,1
Beau Biden,Ivanka Trump,SHARED_UNI,1
Beau Biden,Phil Murphy,SHARED_UNI,1
Beau Biden,Noam Chomsky,SHARED_UNI,1
Beau Biden,Toomas Hendrik Ilves,SHARED_UNI,1
Beau Biden,William Henry Harrison,SHARED_UNI,1
Bongbong Marcos,Ed Rendell,SHARED_UNI,1
Bongbong Marcos,Donald Trump,SHARED_UNI,1
Bongbong Marcos,Ivanka Trump,SHARED_UNI,1
Bongbong Marcos,Phil Murphy,SHARED_UNI,1
Bongbong Marcos,Noam Chomsky,SHARED_UNI,1
Bongbong Marcos,Toomas Hendrik Ilves,SHARED_UNI,1
Bongbong Marcos,William Henry Harrison,SHARED_UNI,1
Donald Trump,Ed Rendell,SHARED_UNI,1
Ed Rendell,Ivanka Trump,SHARED_UNI,1
Ed Rendell,Phil Murphy,SHARED_UNI,1
Ed Rendell,Noam Chomsky,SHARED_UNI,1
Ed Rendell,Toomas Hendrik Ilves,SHARED_UNI,1
Ed Rendell,William Henry Harrison,SHARED_UNI,1
Donald Trump,Ivanka Trump,SHARED_UNI,1
Donald Trump,Phil Murphy,SHARED_UNI,1
Donald Trump,Noam Chomsky,SHARED_UNI,1
Donald Trump,Toomas Hendrik Ilves,SHARED_UNI,1
Donald Trump,William Henry Harrison,SHARED_UNI,1
Ivanka Trump,Phil Murphy,SHARED_UNI,1
Ivanka Trump,Noam Chomsky,SHARED_UNI,1
Ivanka Trump,Toomas Hendrik Ilves,SHARED_UNI,1
Ivanka Trump,William Henry Harrison,SHARED_UNI,1
Noam Chomsky,Phil Murphy,SHARED_UNI,1
Phil Murphy,Toomas Hendrik Ilves,SHARED_UNI,1
Phil Murphy,William Henry Harrison,SHARED_UNI,1
Noam Chomsky,Toomas Hendrik Ilves,SHARED_UNI,1
Noam Chomsky,William Henry Harrison,SHARED_UNI,1
Toomas Hendrik Ilves,William Henry Harrison,SHARED_UNI,1
Alben W. Barkley,Ted Kennedy,SHARED_UNI,1
Alenka Bratušek,Borut Pahor,SHARED_UNI,1
Alenka Bratušek,Janez Drnovšek,SHARED_UNI,1
Alenka Bratušek,Janez Janša,SHARED_UNI,1
Borut Pahor,Janez Drnovšek,SHARED_UNI,1
Borut Pahor,Janez Janša,SHARED_UNI,1
Janez Drnovšek,Janez Janša,SHARED_UNI,1
Aleksander Kwaśniewski,Donald Tusk,SHARED_UNI,1
Aleksander Kwaśniewski,Lech Kaczyński,SHARED_UNI,1
Donald Tusk,Lech Kaczyński,SHARED_UNI,1
Alcide De Gasperi,Brigitte Bierlein,SHARED_UNI,1
Alcide De Gasperi,Christian Stocker,SHARED_UNI,1
Alcide De Gasperi,Elias Canetti,SHARED_UNI,1
Alcide De Gasperi,Friedrich Hayek,SHARED_UNI,1
Alcide De Gasperi,Gustav Mahler,SHARED_UNI,1
Alcide De Gasperi,Ivo Andrić,SHARED_UNI,1
Alcide De Gasperi,Sebastian Kurz,SHARED_UNI,1
Brigitte Bierlein,Christian Stocker,SHARED_UNI,1
Brigitte Bierlein,Elias Canetti,SHARED_UNI,1
Brigitte Bierlein,Friedrich Hayek,SHARED_UNI,1
Brigitte Bierlein,Gustav Mahler,SHARED_UNI,1
Brigitte Bierlein,Ivo Andrić,SHARED_UNI,1
Brigitte Bierlein,Sebastian Kurz,SHARED_UNI,1
Christian Stocker,Elias Canetti,SHARED_UNI,1
Christian Stocker,Friedrich Hayek,SHARED_UNI,1
Christian Stocker,Gustav Mahler,SHARED_UNI,1
Christian Stocker,Ivo Andrić,SHARED_UNI,1
Christian Stocker,Sebastian Kurz,SHARED_UNI,1
Elias Canetti,Friedrich Hayek,SHARED_UNI,1
Elias Canetti,Gustav Mahler,SHARED_UNI,1
Elias Canetti,Ivo Andrić,SHARED_UNI,1
Elias Canetti,Sebastian Kurz,SHARED_UNI,1
Friedrich Hayek,Gustav Mahler,SHARED_UNI,1
Friedrich Hayek,Ivo Andrić,SHARED_UNI,1
Friedrich Hayek,Sebastian Kurz,SHARED_UNI,1
Gustav Mahler,Ivo Andrić,SHARED_UNI,1
Gustav Mahler,Sebastian Kurz,SHARED_UNI,1
Ivo Andrić,Sebastian Kurz,SHARED_UNI,1
Alberto Fernández,Che Guevara,SHARED_UNI,1
Albert Speer,Thomas Mann,SHARED_UNI,1
Alexander Schallenberg,François Hollande,SHARED_UNI,1
Alexander Schallenberg,Gabriel Attal,SHARED_UNI,1
Alexander Schallenberg,Sébastien Lecornu,SHARED_UNI,1
François Hollande,Sébastien Lecornu,SHARED_UNI,1
Gabriel Attal,Sébastien Lecornu,SHARED_UNI,1
Albert Gallatin,José Manuel Barroso,SHARED_UNI,1
Alexander Stubb,Jacek Rostowski,SHARED_UNI,1
Alexander Stubb,Pierre Trudeau,SHARED_UNI,1
Alexander Stubb,Robert Mundell,SHARED_UNI,1
Alexander Stubb,Romano Prodi,SHARED_UNI,1
Alexander Stubb,Tharman Shanmugaratnam,SHARED_UNI,1
Jacek Rostowski,Pierre Trudeau,SHARED_UNI,1
Jacek Rostowski,Robert Mundell,SHARED_UNI,1
Jacek Rostowski,Romano Prodi,SHARED_UNI,1
Jacek Rostowski,Tharman Shanmugaratnam,SHARED_UNI,1
