src_university,dst_university,relation
École nationale des ponts et chaussées,Trường Bách khoa Paris,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Nghiên cứu Chính trị Paris,Sciences Po,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Nghiên cứu Chính trị Paris,PSL Research University,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Nghiên cứu Chính trị Paris,Đại học Paris,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Đại học Đông Dương,Đại học Tổng hợp Hà Nội,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Đại học Đông Dương,Trường Hậu bổ (Hà Nội),UNIVERSITY_MENTIONS_UNIVERSITY
Viện Đại học Đông Dương,Đại học Paris,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Đại học Đông Dương,Trường Đại học Tổng hợp Thành phố Hồ Chí Minh,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Đại học Đông Dương,"Trường Trung học phổ thông Chu Văn An, Hà Nội",UNIVERSITY_MENTIONS_UNIVERSITY
École nationale supérieure des mines de Paris,PSL Research University,UNIVERSITY_MENTIONS_UNIVERSITY
École nationale supérieure des mines de Paris,École nationale des ponts et chaussées,UNIVERSITY_MENTIONS_UNIVERSITY
École nationale supérieure des mines de Paris,Trường Bách khoa Paris,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Adelaide,Đại học,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,University of Chicago,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Đại học California,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Đại học California tại Berkeley,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Viện Công nghệ Georgia,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Đại học Kansas,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Đại học Michigan,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Đại học Minnesota,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Đại học North Carolina tại Chapel Hill,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Đại học Texas tại Austin,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Đại học Virginia,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Đại học Washington,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Đại học Wisconsin–Madison,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Đại học Brown,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Viện Công nghệ California,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Đại học Carnegie Mellon,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Đại học Chicago,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Đại học Columbia,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Đại học Cornell,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Đại học Duke,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Đại học Johns Hopkins,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Đại học New York,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Đại học Pennsylvania,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Đại học Princeton,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Đại học Nam California,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Đại học McGill,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Đại học Toronto,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Đại học Georgetown,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Đại học Bocconi,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Đại học Luân Đôn,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Đại học Thanh Hoa,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Đại học Bắc Kinh,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Đại học Tokyo,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Đại học Keio,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Đại học Chiết Giang,UNIVERSITY_MENTIONS_UNIVERSITY
Viện Công nghệ Massachusetts,Đại học Quốc gia Singapore,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Aarhus,Đại học Copenhagen,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Athena,Đại học Athens,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Amherst,Đại học Wesleyan,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Amherst,Đại học Boston,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Amherst,Viện Công nghệ California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Amherst,Đại học Columbia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Amherst,Đại học Cornell,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Amherst,Đại học Dartmouth,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Amherst,Đại học Georgetown,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Amherst,Đại học Johns Hopkins,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Amherst,Đại học Middlebury,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Amherst,Đại học Notre Dame,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Belgrano,Đại học Buenos Aires,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Boston,Đại học Amherst,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Boston,Viện Công nghệ California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Boston,Đại học Columbia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Boston,Đại học Cornell,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Boston,Đại học Dartmouth,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Boston,Đại học Georgetown,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Boston,Đại học Johns Hopkins,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Boston,Đại học Middlebury,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Boston,Đại học Notre Dame,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bonn,Đại học Hamburg,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bonn,Đại học Göttingen,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Brown,Đại học California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Brown,Đại học California tại Berkeley,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Brown,Viện Công nghệ Georgia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Brown,Đại học Kansas,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Brown,Đại học Michigan,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Brown,Đại học Minnesota,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Brown,Đại học North Carolina tại Chapel Hill,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Brown,Đại học Texas tại Austin,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Brown,Đại học Virginia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Brown,Đại học Washington,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Brown,Đại học Wisconsin–Madison,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Brown,Viện Công nghệ California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Brown,Đại học Carnegie Mellon,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Brown,Đại học Chicago,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Brown,Đại học Columbia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Brown,Đại học Cornell,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Brown,Đại học Duke,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Brown,Đại học Johns Hopkins,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Brown,Đại học New York,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Brown,Đại học Pennsylvania,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Brown,Đại học Princeton,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Brown,Đại học Nam California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Brown,Đại học McGill,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Brown,Đại học Toronto,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Berkeley",Đại học California tại Berkeley,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Buenos Aires,Đại học Belgrano,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California tại Berkeley,Đại học California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California tại Berkeley,Viện Công nghệ Georgia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California tại Berkeley,Đại học Kansas,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California tại Berkeley,Đại học Michigan,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California tại Berkeley,Đại học Minnesota,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California tại Berkeley,Đại học North Carolina tại Chapel Hill,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California tại Berkeley,Đại học Texas tại Austin,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California tại Berkeley,Đại học Virginia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California tại Berkeley,Đại học Washington,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California tại Berkeley,Đại học Wisconsin–Madison,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California tại Berkeley,Đại học Brown,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California tại Berkeley,Viện Công nghệ California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California tại Berkeley,Đại học Carnegie Mellon,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California tại Berkeley,Đại học Chicago,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California tại Berkeley,Đại học Columbia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California tại Berkeley,Đại học Cornell,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California tại Berkeley,Đại học Duke,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California tại Berkeley,Đại học Johns Hopkins,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California tại Berkeley,Đại học New York,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California tại Berkeley,Đại học Pennsylvania,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California tại Berkeley,Đại học Princeton,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California tại Berkeley,Đại học Nam California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California tại Berkeley,Đại học McGill,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California tại Berkeley,Đại học Toronto,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Cao Ly,Đại học Quốc gia Seoul,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học California tại Berkeley,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Viện Công nghệ Georgia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Kansas,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Michigan,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Minnesota,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học North Carolina tại Chapel Hill,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Texas tại Austin,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Virginia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Washington,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Wisconsin–Madison,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Brown,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Viện Công nghệ California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Carnegie Mellon,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Chicago,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Columbia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Cornell,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Duke,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Johns Hopkins,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học New York,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Pennsylvania,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Princeton,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học California,Đại học Nam California,UNIVERSITY_MENTIONS_UNIVERSITY
