src_person,dst_person,relation
Alexandre Millerand,Jacques Chirac,MENTIONS_PERSON
Alexandre Millerand,Nicolas Sarkozy,MENTIONS_PERSON
Alexandre Millerand,François Hollande,MENTIONS_PERSON
Alexandre Millerand,Emmanuel Macron,MENTIONS_PERSON
Alexander Van der Bellen,Christian Kern,MENTIONS_PERSON
Alexander Van der Bellen,Sebastian Kurz,MENTIONS_PERSON
Alec Douglas-Home,Harold Macmillan,MENTIONS_PERSON
Alec Douglas-Home,Harold Wilson,MENTIONS_PERSON
Alec Douglas-Home,James Callaghan,MENTIONS_PERSON
Alec Douglas-Home,Robert Walpole,MENTIONS_PERSON
Alec Douglas-Home,George Grenville,MENTIONS_PERSON
Alec Douglas-Home,William Pitt Trẻ,MENTIONS_PERSON
Alec Douglas-Home,"Henry Addington, Tử tước Sidmouth thứ 1",MENTIONS_PERSON
Alec Douglas-Home,Spencer Perceval,MENTIONS_PERSON
Alec Douglas-Home,George Canning,MENTIONS_PERSON
Alec Douglas-Home,"Arthur Wellesley, Công tước thứ 1 xứ Wellington",MENTIONS_PERSON
Alec Douglas-Home,"Henry John Temple, Tử tước Palmerston thứ 3",MENTIONS_PERSON
Alec Douglas-Home,Stanley Baldwin,MENTIONS_PERSON
Alec Douglas-Home,Ramsay MacDonald,MENTIONS_PERSON
Alec Douglas-Home,Neville Chamberlain,MENTIONS_PERSON
Alec Douglas-Home,Winston Churchill,MENTIONS_PERSON
Alec Douglas-Home,Clement Attlee,MENTIONS_PERSON
Alec Douglas-Home,Anthony Eden,MENTIONS_PERSON
Alec Douglas-Home,Margaret Thatcher,MENTIONS_PERSON
Alec Douglas-Home,Gordon Brown,MENTIONS_PERSON
Alec Douglas-Home,David Cameron,MENTIONS_PERSON
Alec Douglas-Home,Theresa May,MENTIONS_PERSON
Alec Douglas-Home,Boris Johnson,MENTIONS_PERSON
Alec Douglas-Home,Liz Truss,MENTIONS_PERSON
Alec Douglas-Home,Rishi Sunak,MENTIONS_PERSON
Alec Douglas-Home,Keir Starmer,MENTIONS_PERSON
Alexis Tsipras,Prokopis Pavlopoulos,MENTIONS_PERSON
Alexis Tsipras,Vassiliki Thanou-Christophilou,MENTIONS_PERSON
Alexis Tsipras,Kyriakos Mitsotakis,MENTIONS_PERSON
Alexis Tsipras,Karolos Papoulias,MENTIONS_PERSON
Alexis Tsipras,Antonis Samaras,MENTIONS_PERSON
Anders Fogh Rasmussen,Jens Stoltenberg,MENTIONS_PERSON
Anders Fogh Rasmussen,Lars Løkke Rasmussen,MENTIONS_PERSON
Anders Fogh Rasmussen,Silvio Berlusconi,MENTIONS_PERSON
Anders Fogh Rasmussen,Barack Obama,MENTIONS_PERSON
Amy Coney Barrett,Ruth Bader Ginsburg,MENTIONS_PERSON
Amy Coney Barrett,Donald Trump,MENTIONS_PERSON
Alfred Deakin,Edmund Barton,MENTIONS_PERSON
Alfred Deakin,Andrew Fisher,MENTIONS_PERSON
Alfred Deakin,George Reid (chính khách Úc),MENTIONS_PERSON
Alfred Deakin,Stanley Bruce,MENTIONS_PERSON
Alfred Deakin,Earle Page,MENTIONS_PERSON
Alfred Deakin,Robert Menzies,MENTIONS_PERSON
Alfred Deakin,Frank Forde,MENTIONS_PERSON
Alfred Deakin,Harold Holt,MENTIONS_PERSON
Alfred Deakin,John McEwen,MENTIONS_PERSON
Alfred Deakin,John Gorton,MENTIONS_PERSON
Alfred Deakin,William McMahon,MENTIONS_PERSON
Alfred Deakin,Gough Whitlam,MENTIONS_PERSON
Alfred Deakin,Malcolm Fraser,MENTIONS_PERSON
Alfred Deakin,Bob Hawke,MENTIONS_PERSON
Alfred Deakin,John Howard,MENTIONS_PERSON
Alfred Deakin,Kevin Rudd,MENTIONS_PERSON
Alfred Deakin,Julia Gillard,MENTIONS_PERSON
Alfred Deakin,Tony Abbott,MENTIONS_PERSON
Alfred Deakin,Malcolm Turnbull,MENTIONS_PERSON
Alfred Deakin,Scott Morrison,MENTIONS_PERSON
Alfred Deakin,Anthony Albanese,MENTIONS_PERSON
