person,person_url,university,university_url,source
Koizumi Shinjirō,https://vi.wikipedia.org/wiki/Koizumi_Shinjir%C5%8D,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Konrad Lorenz,https://vi.wikipedia.org/wiki/Konrad_Lorenz,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Joseph Kosinski,https://vi.wikipedia.org/wiki/Joseph_Kosinski,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Simon Kuznets,https://vi.wikipedia.org/wiki/Simon_Kuznets,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Amanda Labarca,https://vi.wikipedia.org/wiki/Amanda_Labarca,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Irving Langmuir,https://vi.wikipedia.org/wiki/Irving_Langmuir,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Ursula K. Le Guin,https://vi.wikipedia.org/wiki/Ursula_K._Le_Guin,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Robert Lefkowitz,https://vi.wikipedia.org/wiki/Robert_Lefkowitz,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Richard Levins,https://vi.wikipedia.org/wiki/Richard_Levins,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Audre Lorde,https://vi.wikipedia.org/wiki/Audre_Lorde,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Sidney Lumet,https://vi.wikipedia.org/wiki/Sidney_Lumet,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Lưu Cường Đông,https://vi.wikipedia.org/wiki/L%C6%B0u_C%C6%B0%E1%BB%9Dng_%C4%90%C3%B4ng,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Mã Hữu Hữu,https://vi.wikipedia.org/wiki/M%C3%A3_H%E1%BB%AFu_H%E1%BB%AFu,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Edward MacDowell,https://vi.wikipedia.org/wiki/Edward_MacDowell,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Joseph L. Mankiewicz,https://vi.wikipedia.org/wiki/Joseph_L._Mankiewicz,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Anne Henrietta Martin,https://vi.wikipedia.org/wiki/Anne_Henrietta_Martin,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Matthew Fox,https://vi.wikipedia.org/wiki/Matthew_Fox,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Karl Maramorosch,https://vi.wikipedia.org/wiki/Karl_Maramorosch,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Jim McGreevey,https://vi.wikipedia.org/wiki/Jim_McGreevey,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
James Francis McIntyre,https://vi.wikipedia.org/wiki/James_Francis_McIntyre,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Kate McKinnon,https://vi.wikipedia.org/wiki/Kate_McKinnon,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Margaret Mead,https://vi.wikipedia.org/wiki/Margaret_Mead,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Clinton Hart Merriam,https://vi.wikipedia.org/wiki/Clinton_Hart_Merriam,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Robert C. Merton,https://vi.wikipedia.org/wiki/Robert_C._Merton,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Robert Millikan,https://vi.wikipedia.org/wiki/Robert_Millikan,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Hermann Joseph Muller,https://vi.wikipedia.org/wiki/Hermann_Joseph_Muller,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Neil Gorsuch,https://vi.wikipedia.org/wiki/Neil_Gorsuch,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Rachel Nichols (diễn viên),https://vi.wikipedia.org/wiki/Rachel_Nichols_%28di%E1%BB%85n_vi%C3%AAn%29,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
John Howard Northrop,https://vi.wikipedia.org/wiki/John_Howard_Northrop,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Barack Obama,https://vi.wikipedia.org/wiki/Barack_Obama,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Nancy Onyango,https://vi.wikipedia.org/wiki/Nancy_Onyango,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Anna Paquin,https://vi.wikipedia.org/wiki/Anna_Paquin,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
David Paterson,https://vi.wikipedia.org/wiki/David_Paterson,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Amanda Peet,https://vi.wikipedia.org/wiki/Amanda_Peet,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Santiago Peña,https://vi.wikipedia.org/wiki/Santiago_Pe%C3%B1a,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Arno Allan Penzias,https://vi.wikipedia.org/wiki/Arno_Allan_Penzias,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Anthony Perkins,https://vi.wikipedia.org/wiki/Anthony_Perkins,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Martin Lewis Perl,https://vi.wikipedia.org/wiki/Martin_Lewis_Perl,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Quarraisha Abdool Karim,https://vi.wikipedia.org/wiki/Quarraisha_Abdool_Karim,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Gonzalo de Quesada y Aróstegui,https://vi.wikipedia.org/wiki/Gonzalo_de_Quesada_y_Ar%C3%B3stegui,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Isidor Isaac Rabi,https://vi.wikipedia.org/wiki/Isidor_Isaac_Rabi,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
James Rainwater,https://vi.wikipedia.org/wiki/James_Rainwater,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
"Norman Foster Ramsey, Jr.",https://vi.wikipedia.org/wiki/Norman_Foster_Ramsey%2C_Jr.,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Joan Rivers,https://vi.wikipedia.org/wiki/Joan_Rivers,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Robert H. Grubbs,https://vi.wikipedia.org/wiki/Robert_H._Grubbs,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Richard Rodgers,https://vi.wikipedia.org/wiki/Richard_Rodgers,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Theodore Roosevelt,https://vi.wikipedia.org/wiki/Theodore_Roosevelt,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Emmy Rossum,https://vi.wikipedia.org/wiki/Emmy_Rossum,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Mikheil Saakashvili,https://vi.wikipedia.org/wiki/Mikheil_Saakashvili,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Juan Bautista Sacasa,https://vi.wikipedia.org/wiki/Juan_Bautista_Sacasa,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
J. D. Salinger,https://vi.wikipedia.org/wiki/J._D._Salinger,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Ruth Lyttle Satter,https://vi.wikipedia.org/wiki/Ruth_Lyttle_Satter,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Nora Schimming-Chase,https://vi.wikipedia.org/wiki/Nora_Schimming-Chase,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Melvin Schwartz,https://vi.wikipedia.org/wiki/Melvin_Schwartz,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
"John Seigenthaler, Sr.",https://vi.wikipedia.org/wiki/John_Seigenthaler%2C_Sr.,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Jenny Slate,https://vi.wikipedia.org/wiki/Jenny_Slate,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Robert Solow,https://vi.wikipedia.org/wiki/Robert_Solow,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
William Howard Stein,https://vi.wikipedia.org/wiki/William_Howard_Stein,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Tess Posner,https://vi.wikipedia.org/wiki/Tess_Posner,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Tiết Hãn Cần,https://vi.wikipedia.org/wiki/Ti%E1%BA%BFt_H%C3%A3n_C%E1%BA%A7n,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
Tiêu Mỹ Cầm,https://vi.wikipedia.org/wiki/Ti%C3%AAu_M%E1%BB%B9_C%E1%BA%A7m,Đại học Columbia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Columbia,category
